char,hex,glyph
あ,U+3042,0
い,U+3044,1
う,U+3046,2
え,U+3048,3
お,U+304A,4
か,U+304B,5
き,U+304D,6
く,U+304F,7
け,U+3051,8
こ,U+3053,9
さ,U+3055,10
し,U+3057,11
す,U+3059,12
せ,U+305B,13
そ,U+305D,14
た,U+305F,15
ち,U+3061,16
つ,U+3064,17
て,U+3066,18
と,U+3068,19
な,U+306A,20
に,U+306B,21
ぬ,U+306C,22
ね,U+306D,23
の,U+306E,24
は,U+306F,25
ひ,U+3072,26
ふ,U+3075,27
へ,U+3078,28
ほ,U+307B,29
ま,U+307E,30
み,U+307F,31
む,U+3080,32
め,U+3081,33
も,U+3082,34
や,U+3084,35
ゆ,U+3086,37
よ,U+3088,39
ら,U+3089,40
り,U+308A,41
る,U+308B,42
れ,U+308C,43
ろ,U+308D,44
わ,U+308F,45
を,U+3092,47
ん,U+3093,49
ぁ,U+3041,50
ぃ,U+3043,51
ぅ,U+3045,52
ぇ,U+3047,53
ぉ,U+3049,54
ゃ,U+3083,55
ゅ,U+3085,57
ょ,U+3087,59
が,U+304C,60
ぎ,U+304E,61
ぐ,U+3050,62
げ,U+3052,63
ご,U+3054,64
ざ,U+3056,65
じ,U+3058,66
ず,U+305A,67
ぜ,U+305C,68
ぞ,U+305E,69
だ,U+3060,70
ぢ,U+3062,71
づ,U+3065,72
で,U+3067,73
ど,U+3069,74
ば,U+3070,75
び,U+3073,76
ぶ,U+3076,77
べ,U+3079,78
ぼ,U+307C,79
ぱ,U+3071,80
ぴ,U+3074,81
ぷ,U+3077,82
ぺ,U+307A,83
ぽ,U+307D,84
ー,U+30FC,85
っ,U+3063,86
ア,U+30A2,90
イ,U+30A4,91
ウ,U+30A6,92
エ,U+30A8,93
オ,U+30AA,94
カ,U+30AB,95
キ,U+30AD,96
ク,U+30AF,97
ケ,U+30B1,98
コ,U+30B3,99
サ,U+30B5,100
シ,U+30B7,101
ス,U+30B9,102
セ,U+30BB,103
ソ,U+30BD,104
タ,U+30BF,105
チ,U+30C1,106
ツ,U+30C4,107
テ,U+30C6,108
ト,U+30C8,109
ナ,U+30CA,110
ニ,U+30CB,111
ヌ,U+30CC,112
ネ,U+30CD,113
ノ,U+30CE,114
ハ,U+30CF,115
ヒ,U+30D2,116
フ,U+30D5,117
ヘ,U+30D8,118
ホ,U+30DB,119
マ,U+30DE,120
ミ,U+30DF,121
ム,U+30E0,122
メ,U+30E1,123
モ,U+30E2,124
ヤ,U+30E4,125
ユ,U+30E6,127
ヨ,U+30E8,129
ラ,U+30E9,130
リ,U+30EA,131
ル,U+30EB,132
レ,U+30EC,133
ロ,U+30ED,134
ワ,U+30EF,135
ヲ,U+30F2,137
ン,U+30F3,139
ァ,U+30A1,140
ィ,U+30A3,141
ゥ,U+30A5,142
ェ,U+30A7,143
ォ,U+30A9,144
ャ,U+30E3,145
ュ,U+30E5,147
ョ,U+30E7,149
ガ,U+30AC,150
ギ,U+30AE,151
グ,U+30B0,152
ゲ,U+30B2,153
ゴ,U+30B4,154
ザ,U+30B6,155
ジ,U+30B8,156
ズ,U+30BA,157
ゼ,U+30BC,158
ゾ,U+30BE,159
ダ,U+30C0,160
ヂ,U+30C2,161
ヅ,U+30C5,162
デ,U+30C7,163
ド,U+30C9,164
バ,U+30D0,165
ビ,U+30D3,166
ブ,U+30D6,167
ベ,U+30D9,168
ボ,U+30DC,169
パ,U+30D1,170
ピ,U+30D4,171
プ,U+30D7,172
ペ,U+30DA,173
ポ,U+30DD,174
ッ,U+30C3,176
1,U+0031,180
2,U+0032,181
3,U+0033,182
4,U+0034,183
5,U+0035,184
6,U+0036,185
7,U+0037,186
8,U+0038,187
9,U+0039,188
0,U+0030,189
@,U+0040,190
。,U+3002,192
：,U+FF1A,193
！,U+FF01,194
，,U+FF0C,195
？,U+FF1F,196
·,U+00B7,197
—,U+2014,198
、,U+3001,199
…,U+2026,200
」,U+300D,201
「,U+300C,202
）,U+FF09,203
（,U+FF08,204
《,U+300A,205
》,U+300B,206
】,U+3011,207
【,U+3010,208
○,U+25CB,209
／,U+FF0F,210
～,U+FF5E,211
％,U+FF05,212
